POI index,Mean of Ground Pixel Along-Track Resolution [m],Mean of Ground Pixel Cross-Track Resolution [m],Mean of SNR,Mean of DR,Mean of Noise-Equivalent Delta T [K],SD of Ground Pixel Along-Track Resolution [m],SD of Ground Pixel Cross-Track Resolution [m],SD of SNR,SD of DR,SD of Noise-Equivalent Delta T [K]
1155,29.946751863517694,30.20459292240738,496.17227392175033,15270.741181472004,,1.5614830592531985e-10,0.16914870039666782,254.38616091514515,13897.862087159636,
1156,29.946751863497486,30.17542689032435,464.21451056759315,16355.826319744601,,9.681092206015066e-11,0.16343689724621868,351.5869832692909,14188.542971137726,
1157,29.946751863499465,30.293451571107727,395.92498118954774,10781.55222539469,,1.5270873114341198e-10,0.14215938231731015,256.5083351143574,9995.131171613526,
1158,29.946751863441172,30.211939158044423,484.7209156324396,14827.745861638869,,1.492856564378248e-10,0.18506655178428405,259.4658017382445,13795.410514682311,
1159,29.946751863490633,30.21539609840086,547.2795201212174,20720.9448834753,,1.0619119149892888e-10,0.17546290552952531,358.94290553575763,15759.993363247968,
1160,29.946751863466186,30.293546277694702,436.5516796155622,12209.858083719924,,1.5609323569952368e-10,0.1815641515213269,243.18607596164412,10836.051100125042,
1161,29.946751863498594,30.20371893736974,547.8237460282459,18254.584840722207,,1.1929046948411114e-10,0.19245753837901447,267.87678503422234,14587.318865524208,
1162,29.94675186346609,30.156660242264042,546.5623992760133,20627.811664021665,,1.2608807451456702e-10,0.16551829172766505,355.04549325085435,14389.074233725247,
1163,29.946751863514546,30.27157727486274,453.03514825666997,13580.810279516809,,1.7545142987227906e-10,0.19912466678055474,274.60886055904183,13679.123949301214,
1164,29.94675186341585,30.120983074054458,550.7770841354635,19213.470243810698,,1.183970055298576e-10,0.1549434157395882,299.102293604208,16011.826959957694,
1165,29.94675186355634,30.16857506176335,499.2475657056869,18081.759165469266,,1.2307746539730512e-10,0.16869646623271542,354.98650552202065,14644.129886741914,
1166,29.94675186346755,30.206871939492192,450.3115913326219,12855.236938946615,,1.5406321956535715e-10,0.2213263960037846,244.79004477331293,11438.733107440166,
1167,29.946751863509284,30.15518826887576,513.45414551683,17468.812211758795,,7.191017690508182e-11,0.19085810399133024,309.87539245342833,13958.821316145826,
1168,29.946751863478784,30.10640116570618,571.5445541509898,20645.335013225347,,1.6517838891938126e-10,0.1642366948060965,310.7937262254986,12893.236283477452,
1169,29.946751863481744,30.1768875866465,555.3883744190168,18867.677932699044,,1.9037636053181025e-10,0.24434237859035848,282.69205752092694,16779.915321350672,
1170,29.946751863413784,30.07735944353155,557.9241811677526,19761.718957427325,,1.073788272851419e-10,0.1641835929720668,304.69783735923227,16877.36839536072,
1171,29.946751863571777,30.08254378282483,503.9420485873015,19431.89714305879,,1.4662168517682437e-10,0.1627513305700752,391.7880454263182,16651.3696960931,
1172,29.94675186344859,30.085213826984784,534.4287422226695,16532.908977025163,,1.1618284522690402e-10,0.1757330457425554,225.8824333545788,12594.515390137276,
1173,29.946751863494022,30.07676552883543,478.25982536075907,15744.478391157392,,6.354115754021182e-11,0.15250729921988473,313.0896564356059,13795.425314448026,
1174,29.946751863486117,30.020188902258514,558.6999975797377,20385.18047325466,,1.7045337862450204e-10,0.07431169428706323,329.80964503927163,13539.287258059603,
1175,29.94675186348312,30.016401054496097,506.5363032783027,16518.071912528827,,1.2926050815748522e-10,0.10131662803920191,292.5991513165425,17641.126252905586,
1176,29.946751863440813,30.012824871095475,523.7646989841156,17784.988836344375,,1.0823307827909496e-10,0.07287802469335877,301.81783909534545,15912.388171095903,
